rate,package,algorithm,size,time_setup,date,compiler,debug
5.15e+04,double,det_by_minor,6,true,2023-8-12,Clang-16.0.6,true
9.91e+03,adolc,det_by_minor,6,true,2023-8-12,Clang-16.0.6,true
4.32e+03,cppad,det_by_minor,6,true,2023-8-12,Clang-16.0.6,true
3.18e+00,cppad_jit,det_by_minor,6,true,2023-8-12,Clang-16.0.6,true
8.35e+03,sacado,det_by_minor,6,true,2023-8-12,Clang-16.0.6,true
2.85e+02,autodiff,det_by_minor,6,true,2023-8-12,Clang-16.0.6,true
5.76e+04,double,det_by_minor,6,false,2023-8-12,Clang-16.0.6,true
4.99e+04,adolc,det_by_minor,6,false,2023-8-12,Clang-16.0.6,true
5.87e+04,cppad,det_by_minor,6,false,2023-8-12,Clang-16.0.6,true
8.90e+05,cppad_jit,det_by_minor,6,false,2023-8-12,Clang-16.0.6,true
7.70e+03,sacado,det_by_minor,6,false,2023-8-12,Clang-16.0.6,true
2.67e+02,autodiff,det_by_minor,6,false,2023-8-12,Clang-16.0.6,true
